State,University,URL
Alabama,Auburn University,https://focus.org/campus/auburn-university/
Alabama,Samford University,https://focus.org/campus/samford-university/
Alabama,Troy University,https://focus.org/campus/troy-university/
Alabama,University of Alabama,https://focus.org/campus/the-university-of-alabama/
Alabama,University of Alabama at Birmingham,https://focus.org/campus/university-of-alabama-at-birmingham/
Alabama,University of Alabama – Huntsville,https://focus.org/campus/university-of-alabama-huntsville/
Arizona,Arizona State University,https://focus.org/campus/arizona-state-university/
Arizona,Northern Arizona University,https://focus.org/campus/northern-arizona-university/
Arizona,University of Arizona,https://focus.org/campus/university-of-arizona/
Arkansas,University of Arkansas,https://focus.org/campus/university-of-arkansas/
California,"California State University, Fullerton",https://focus.org/campus/california-state-university-fullerton/
California,"California State University, Long Beach",https://focus.org/campus/california-state-university-long-beach/
California,"California State University, Stanislaus",https://focus.org/campus/california-state-university-stanislaus/
California,San Diego State University,https://focus.org/campus/san-diego-state-university/
California,San Francisco State University,https://focus.org/campus/san-francisco-state-university/
California,San José State University,https://focus.org/campus/san-jose-state-university/
California,UCLA,https://focus.org/campus/ucla/
California,"University of California, Berkeley",https://focus.org/campus/university-of-california-berkeley/
California,"University of California, Irvine",https://focus.org/campus/university-of-california-irvine/
California,University of Southern California,https://focus.org/campus/university-of-southern-california/
Colorado,Auraria Campus,https://focus.org/campus/auraria-campus/
Colorado,Colorado Mesa University,https://focus.org/campus/colorado-mesa-university/
Colorado,Colorado School of Mines,https://focus.org/campus/colorado-school-of-mines/
Colorado,Colorado State University,https://focus.org/campus/colorado-state-university/
Colorado,United States Air Force Academy,https://focus.org/campus/united-states-air-force-academy/
Colorado,University of Colorado,https://focus.org/campus/university-of-colorado/
Colorado,University of Denver,https://focus.org/campus/university-of-denver/
Colorado,University of Northern Colorado,https://focus.org/campus/university-of-northern-colorado/
Connecticut,Central Connecticut State University,https://focus.org/campus/central-connecticut-state-university/
Connecticut,United States Coast Guard Academy,https://focus.org/campus/united-states-coast-guard-academy/
Connecticut,University of Connecticut,https://focus.org/campus/university-of-connecticut/
Delaware,University of Delaware,https://focus.org/campus/university-of-delaware/
Florida,Florida Atlantic University,https://focus.org/campus/florida-atlantic-university/
Florida,Florida International University,https://focus.org/campus/florida-international-university/
Florida,Florida State University,https://focus.org/campus/florida-state-university/
Florida,University of Florida,https://focus.org/campus/university-of-florida/
